Ingredient_name,Link,Rating,Rating_score,Irritancy,Comedogenicity,Functions,Quick_facts,Details
 rh-Oligopeptide-1,https://incidecoder.com/ingredients/sh-oligopeptide-1,No rating,-1,,,{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient'},,"['Sh-Oligopeptide-1 is the famous molecule, which is also called\xa0Epidermal Growth Factor\xa0or EGF. Chemically speaking, Growth Factors are largish peptides or smallish proteins, or to put it in another way, medium-length amino acid sequences (EGF consists of\xa053 amino acids).\xa0 Biologically speaking, Growth Factors are cellular signal molecules that can stimulate cell growth, proliferation, healing and/or differentiation.', 'There are lots of Growth Factors and EGF is just one of them.\xa0The topic of ""Growth Factors and skincare"" is a\xa0big, confusing and controversial one\xa0and we will try our best to summarize the story for you, including the pros and the cons.', 'EGF is a special snowflake when it comes to skincare as it was the first Growth Factor that made its way into cosmetic products and it is\xa0also the most common one. The American\xa0biochemist,\xa0Stanley Cohen discovered EGF and was awarded a Noble prize in 1986 for it. As the Noble prize may signify, the molecule is significant and powerful and directly stimulates\xa0the proliferation of epidermal cells.', 'When it comes to Sh-Oligopeptide-1 in a cosmetic product, it has\xa0pretty well-established wound\xa0healing and skin renewal properties. It might even do more than that. According to a 2012 study on a serum\xa0containing barley bioengineered epidermal growth factor, ""clinical evaluations showed statistically significant improvement in the appearance of fine lines and rhytids, skin texture, pore size, and various dyschromatic conditions apparent within the first month of use, and continuing improvement trends for the duration of the study"" (which was 3 months).', 'This all sounds amazing, ""give me some EGF Serum"", we can hear you say! But as we wrote in the intro, the topic is complex and controversial so here are some of the questions that keep coming up around slathering EGF all over our face.', 'The first and biggest concern is that if EGF is so good at stimulating cell proliferation, how does it relate to cancer? Is\xa0the definition of cancer not ""cells proliferating out of control""?\xa0 Most experts agree on this answer: EGF is\xa0mitogenic (= stimulates cell proliferation) but not\xa0mutagenic (= does not alter the cell to make it cancerous).\xa0If you do not have cancer, you will not get cancer from EGF. However, if you have cancerous cells, EGF will help them to spread, just like it helps healthy cells. So if you have a lot of moles, excessive UV exposure in the past, or if you have any of the skin cancer risk factors, we suggest you should think twice about using EGF products.\xa0The same is true if you have psoriasis, a skin disease related to the abnormal growth of epidermal skin cells. You do not want to add fuel to the fire\xa0with EGF.', 'Other (less serious)\xa0concerns\xa0are if EGF can properly penetrate the skin (as it is a medium-sized, polar molecule, so a special delivery\xa0system is probably needed), if it can affect\xa0collagen synthesis (or just works on the surface plumping up only the upmost layers of the skin) and if it has beneficial effects at all when used in isolation versus when used in a ""conditioned media"" that contains lots of growth factors resembling the synergistic balance found in the skin.', 'Overall, our impression is that EGF is definitely a potent molecule. Some EGF products have a cult-like following\xa0adding anecdotal evidence to the clinical studies showing EGF has a beneficial effect on the skin. If you like experimenting, by all means,\xa0go ahead (unless you have psoriasis or high skin cancer risk factors), but if you are a better safe than sorry type, stick to daily SPF + a good retinoid product. This duo is still the golden standard of anti-aging.', 'Are you interested in Growth Factors and skincare? We have some more here:']"
 rh-Oligopeptide-2,https://incidecoder.com/ingredients/sh-oligopeptide-2,No rating,-1,,,{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient'},,"['Sh-Oligopeptide-2 is also called\xa0Insulin-like growth factor 1 and it belongs to the same group of ingredients (Growth Factors) as its better-known sister, Epidermal Growth Factor or\xa0Sh-Oligopeptide-1. This guy consists of 70 amino acids and, similar to EGF, it is also claimed to stimulate cell proliferation and wound healing. There is also a study that indicates EGF and IGF1 work in synergy to promote\xa0keratinocyte (skin cell) proliferation.', 'The topic of Growth Factors in skincare is complex and controversial. If you are new to it, read our shiny explanation on EGF to get a (hopefully) balanced impression about the pros and cons.']"
 rh-Polypeptide-1,https://incidecoder.com/ingredients/sh-polypeptide-1,No rating,-1,,,{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient'},,"['Sh-Polypeptide-1 is a cell signaling\xa0protein also called\xa0Basic Fibroblast Growth Factor\xa0and is twin sister to Acidic\xa0Fibroblast Growth Factor. We can write here pretty much the same things as we did on aFGF: it is a mitogenic (= stimulates cell proliferation) ingredient that stimulates fibroblast cell growth and proliferation. According to manufacturer info, it also stimulates the synthesis of collagen and other extracellular-matrix (the gooey\xa0stuff between cells) components.', 'Growth Factors and skincare is a big, complicated and controversial topic, so if you wanna know more, we have a more detailed explanation on\xa0Epidermal Growth Factor, the most common one used in skincare.']"
 rh-Polypeptide-11,https://incidecoder.com/ingredients/sh-polypeptide-11,No rating,-1,,,{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient'},,"['Sh-Polypeptide-11 is a medium sized cell signaling\xa0molecule also called\xa0Acidic Fibroblast Growth Factor. It belongs to the same group of ingredients (Growth Factors) as its better-known sister, Epidermal Growth Factor or Sh-Oligopeptide-1. As its name suggests, FGF can stimulate the growth and proliferation of fibroblast cells (VIP cells that produce among other things collagen). According to manufacturer info, it also stimulates skin regeneration, wound healing and collagen and elastin synthesis.', 'As for research, we could find an in-vitro study that proved that ""Recombinant FGF-1 strongly stimulated fibroblast and keratinocyte proliferation. However, the transition of this protein through the SC required an appropriate carrier system - lipid spheres.""', 'It\'s also good to know that slathering mitogenic (= stimulates cell proliferation) ingredients on yourself\xa0is somewhat\xa0controversial. If you are new to the ""Growth Factors and skincare"" topic, we have a more detailed explanation of Epidermal Growth Factor, so click here and read all about it.']"
 rh-Polypeptide-9,https://incidecoder.com/ingredients/sh-polypeptide-9,No rating,-1,,,{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient'},,"['Sh-Polypeptide-9 is a cell signaling protein also called\xa0Vascular Endothelial Growth Factor. As its name suggests, its main function is to\xa0stimulate\xa0the formation of blood vessels. As to what it does in cosmetic products, we found manufacturers info claiming that it plays a role in supplying fibroblast cells (VIP skin cells that make collagen) with nutrients, in the growth and migration of cells and in wound healing.', 'It usually comes to the formula as part of a Growth Factor mix trade named BIO-Placenta, that combines EGF, IGF-1, FGF1, FGF2 and this guy to form a synergistic growth factor cocktail. BIO Placenta is claimed to do pretty much everything you would want from an anti-aging active including anti-wrinkle, skin rejuvenation, elasticity enhancement, moisturizing and cell vitalization properties.', 'This all sounds great and Growth Factors are for sure potent cell signaling molecules, but\xa0the use of them in cosmetic products is somewhat controversial, so if you are new to the topic, read our explanation at EGF to get a (hopefully) balanced view.']"
"1,2-Hexanediol",https://incidecoder.com/ingredients/1-2-hexanediol,No rating,-1,,,{'solvent': '/ingredient-functions/solvent'},,"['A really multi-functional helper ingredient that can do several things in a skincare product: it can bring a soft and pleasant feel to the formula, it can act as a humectant and emollient, it can be a solvent for some other ingredients (for example it can help to stabilize perfumes\xa0in watery products) and it can also help to disperse pigments more evenly in makeup products. And that is still not all: it can also boost the antimicrobial activity of preservatives.']"
12,https://incidecoder.com/ingredients/linoleic-acid,goodie,2,,,"{'skin-identical ingredient': '/ingredient-functions/skin-identical-ingredient', 'emollient': '/ingredient-functions/emollient', 'surfactant/cleansing': '/ingredient-functions/surfactant-cleansing'}",,"['The famous\xa0omega-6 fatty acid,\xa0the mother of all\xa0ω-6 fatty acids in our\xa0body. It is a so-called polyunsaturated fatty acid meaning it has more than one (in this case two) double bonds and a somewhat kinky structure that makes LA and LA-rich oils a thin liquid.', 'It is also an essential fatty acid meaning our body cannot synthesize\xa0it and has to take it from food. This is not hard at all as plenty of nuts (such as flax, poppy or sesame seeds) and vegetable oils (such as sunflower or safflower) are rich in LA. The hard thing seems to be eating enough omega-3-s, more specifically\xa0eating a healthy ratio of omega-6 to omega-3, but that is a topic for a what-is-good-to-eat-site and not for us.', 'As for linoleic acid and the skin, LA is a really important little guy found naturally\xa0in our skin. It is the most abundant fatty acid in the epidermis and it serves as a structural precursor for important skin lipids called ceramides. Knowing this, it will not come as a surprise that Linoleic acid has a central role\xa0in the structure and function of stratum corneum permeability, aka healthy skin barrier.\xa0\xa0LA deficiency leads to an impaired\xa0more permeable skin barrier and the topical application of LA-rich sunflower oil can fix this issue rapidly (while oleic-rich olive oil did not have the same barrier repairing effect).', 'LA is not only important for dry, barrier damaged skin types but also for acne-prone skin. Research shows that problem skin has\xa0lower levels of linoleic acid (and higher levels of oleic acid) than normal skin. So LA-deficiency in the skin seems to be connected not only to an impaired skin barrier but also to acne and smearing LA all over your face might help with your problem skin. A double-blind study using a 2.5% LA gel for 4 weeks found a 25% reduction in the size of\xa0microcomedones,\xa0the tiny blocked pores that can later lead to acne.', 'If that was not enough, we have one more thing to report about LA.\xa0 It lightens hyperpigmentation (aka UVB caused sun spots) both by\xa0blocking the melanin production of\xa0melanocytes (the skin cells that make the pigment melanin) and by enhancing\xa0the desquamation of melanin pigment from the upper layers of the skin.', ""Overall, linoleic acid is a multi-functional skin goodie\xa0with barrier repairing, acne-reducing, and skin-lightening magic abilities. It's a nice one to spot on the ingredient list pretty much\xa0for any skin type.""]"
4-Methylbenzylidene Camphor,https://incidecoder.com/ingredients/4-methylbenzylidene-camphor,icky,0,,,{'sunscreen': '/ingredient-functions/sunscreen'},,"['4-Methylbenzylidene Camphor is a chemical sunscreen agent that protects in the UVB range (290-320 nm) with a peak absorbance at 301 nm. It is an oil-soluble powder that is slightly photo-unstable (it takes 65 minutes to lose 10% of its protecting power and 345 minutes to lose half of it), but it can still help to stabilize the famously unstable UVA filter, avobenzone.', 'Regarding its safety, we do not have the best news. Two possible concerns are that it absorbs into the body and might have some estrogenic activity there. But do not panic, the latter one was only shown in rats\xa0and is probably not the case in humans, and\xa0\xa04-Methylbenzylidene Camphor is considered safe as used. It is legally approved both in the EU and\xa0\xa0Australia up to 4%, however, it is not approved in the US and in Japan.', 'Overall, we think there are better UVB filter choices out there than this guy, but if your favorite sunscreen contains it, you should probably just continue to use it.']"
4-T-Butylcyclohexanol,https://incidecoder.com/ingredients/4-t-butylcyclohexanol,goodie,2,,,"{'soothing': '/ingredient-functions/soothing', 'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient', 'perfuming': '/ingredient-functions/perfuming'}",,"[""A soothing molecule whose special feature is to instantly decrease\xa0stinging and burning sensations. According to the manufacturer's impressive numbers, it can reduce\xa0stinging up to 78% and burning\xa0sensation by up to 80%\xa0after just 3 minutes."", ""It is so effective\xa0because it works\xa0at a cellular level\xa0via intercepting the signals caused by the irritation\xa0before they can reach the neuro-receptor. This means that we feel stinging and burning sensations much less and\xa0the skin's tolerance threshold is increased."", 'The effectiveness of\xa0SymSitive was also backed up by a comparative study. It found that both\xa04‐t‐Butylcyclohexanol and fellow cell-communicating, soothing molecule acetyl dipeptide‐1 cetyl ester works, but 4‐t‐Butylcyclohexanol\xa0works better.']"
Acacia Decurrens Flower Wax,https://incidecoder.com/ingredients/acacia-decurrens-flower-wax,No rating,-1,,,{'emollient': '/ingredient-functions/emollient'},,"['The flower wax coming from\xa0Mimosa that has nice skin protecting and film-forming properties. It also has a nice, sweet smell\xa0well known to perfumers.', 'Mimosa wax often comes to the formula together with sunflower and jojoba waxes as the three of them is trade named\xa0Acticire and form a natural texture agent that works both as an emollient bringing softness to the formula as well as an active ingredient with skin-repairing, protecting, and moisturizing properties.']"
Acacia Decurrens/ Jojoba/  Sunflower Seed Wax Polyglyceryl-3 Esters,https://incidecoder.com/ingredients/acacia-decurrens-jojoba-sunflower-seed-wax-polyglyceryl-3-esters,No rating,-1,,,"{'emollient': '/ingredient-functions/emollient', 'emulsion stabilising': '/ingredient-functions/emulsion-stabilising'}",,"['A 100% plant-based moisturizing and texturizing agent that is based on the\xa0transesterification of Sunflower, Jojoba, and Mimosa waxes. The resulting material is a soft, smooth butter halfway between liquid emollients and solid butters.', 'It has similar emollient and moisturizing properties to\xa0lanolin, however, it is much more compatible with water in oil emulsions. 5% of the wax ester makes it possible to include up to 15% water into traditionally water-free formulas such as lip balms or massage oils.']"
Acacia Senegal Gum,https://incidecoder.com/ingredients/acacia-senegal-gum,No rating,-1,,,,,"[""A natural polymer\xa0(big molecules from repeated subunits) that is harvested from the\xa0Acacia tree\xa0in the\xa0sub-Saharan region in Africa. It's a great thickening and binding agent. Often coupled with xanthan gum, as it helps to reduce its unpleasant stickiness.""]"
Acer Saccharum Extract,https://incidecoder.com/ingredients/acer-saccharum-extract,No rating,-1,,,,,"['The extract coming from the Sugar Maple tree, the one\xa0whose leaf is on the Canadian flag and gives us maple syrup.', 'The main reason it is used in skin care is that it contains natural AHA acids, namely Malic and Tartaric, and hence why it\xa0supposedly helps slough off dead skin cells in combination with other acid-containing fruit extracts as part of the trade name ACB Fruit Mix. The manufacturer claims that both malic and tartaric increase elasticity in the skin,\xa0but from our research, the only confirmed uses of these acids are as pH adjusters, especially in the tiny amounts they can be found in the Fruit Mix (less than 1%).']"
Acetamidoethoxyethanol,https://incidecoder.com/ingredients/acetamidoethoxyethanol,goodie,2,,,{'moisturizer/humectant': '/ingredient-functions/moisturizer-humectant'},,"[""Acetamidoethoxyethanol is a\xa0\xa0high-performance moisturizer that's claimed to give both amazing instant and longer term (up to 30 hours) hydration to the skin. It works through interacting with water and keratin (skin protein) to keep the water molecules tightly bound in the upper layer of the skin. This binding mechanism supposedly ensures that Acetamidoethoxyethanol gives great hydration initially as well as over 30 hours."", ""It's also non-sticky, spreads nicely and easily on the skin and plays well with other common ingredients in the formula.""]"
Acetic Acid,https://incidecoder.com/ingredients/acetic-acid,No rating,-1,,,{'buffering': '/ingredient-functions/buffering'},,"[""The acid found in vinegar. Can be a skin irritant and drying in larger amounts but in tiny amounts,\xa0it's used to set the pH of the cosmetic formula. Has also some disinfecting properties.""]"
Acetum,https://incidecoder.com/ingredients/vinegar,No rating,-1,,,,,"[""The thing that you put on your salad with some olive oil. But in a more scientific sense\xa0vinegar is usually a 5% solution of\xa0acetic acid. It's used in cosmetic products to adjust pH. Larg\xa0amounts of vinegar on the skin could be irritating and drying.""]"
Acetyl Dipeptide-1 Cetyl Ester,https://incidecoder.com/ingredients/acetyl-dipeptide-1-cetyl-ester,goodie,2,,,"{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient', 'soothing': '/ingredient-functions/soothing'}",,"['A soothing dipeptide (tyrosine + arginine) based molecule that functions as a ""messenger of tranquility and muscle relaxation"". It works via stimulating the skin nerve cells to release met-enkephalin, which is an opioid (i.e. relaxing, pain-relieving) messenger molecule.', 'This means that\xa0Acetyl Dipeptide-1 Cetyl Ester can ""signal"" our skin cells to ""relax"" and it can instantly decrease skin irritations coming from\xa0heat, chemical stinging or mechanical stresses. It is also claimed to be able to prevent the\xa0onset of wrinkles and expression lines thanks to its\xa0muscle relaxation properties.', 'Regarding the research, we could find one study that compared the\xa0calming effects of our guy with the soothing molecule called\xa04-T-Butylcyclohexanol. They irritated the skin with Capsaicin (the active in chili peppers) and examined how the test products relieved the\xa0burning/stinging sensation. They found that both molecules worked, but\xa04-t-Butylcyclohexanol\xa0worked somewhat better.']"
Acetyl Glucosamine,https://incidecoder.com/ingredients/acetyl-glucosamine,goodie,2,,,"{'skin-identical ingredient': '/ingredient-functions/skin-identical-ingredient', 'skin brightening': '/ingredient-functions/skin-brightening'}",,"[""An amino acid sugar that can be found\xa0in the skin and does there good and important things. One of them is that\xa0it's a precursor for the biosynthesis of superstar moisturizer, hyaluronic acid. So acetyl glucosamine\xa0itself is also an important skin-identical ingredient and natural moisturizing factor."", ""But that is not all, acetyl glucosamine has two other great properties proved by double-blind clinical trials. First, it's a promising ingredient against wrinkles:\xa0\xa02% can improve\xa0wrinkles, particularly in the eye area."", ""Second, the same amount can also fade\xa0- always stubborn -\xa0brown spots.\xa0(Do not expect magic,\xa0though - the photos from the study show the difference after 8 weeks of daily use. The difference is visible, but not that big. It's always\xa0good to have realistic expectations. :)) \xa0Combined with skincare superstar niacinamide the duo is synergistic and is more effective at improving hyperpigmentation, so if you are after the skin-lightening benefit look out for products that contain both.""]"
Acetyl Glycyl Beta-Alanine,https://incidecoder.com/ingredients/acetyl-glycyl-beta-alanine,goodie,2,,,{'skin brightening': '/ingredient-functions/skin-brightening'},,"['A skin-whitening peptide that goes by the trade name\xa0GenoWhite. The manufacturer claims that it hinders the mechanism of pigmentation in two ways: first, it inhibits melanin generating enzymes like Tyrosinase so that less pigment is formed\xa0and then it also hinders the transport of the pigment to the upper layers of the skin where it becomes visible (little organelles called melanosomes carry the pigment upwards).', 'The in-vivo (made on real people) test of the manufacturer shows great spot-fading results after 56 days using 2% GenoWhite (with the first visible results showing already after 14 days).']"
Acetyl Hexapeptide-1,https://incidecoder.com/ingredients/acetyl-hexapeptide-1,goodie,2,,,,,"[""Acetyl Hexapeptide-1 is a bit of a special snowflake among peptides as it's not a wrinkle-smoothing, anti-aging active like most of the other ones but it can stimulate pigmentation and melanin production (by interacting with a skin cell receptor called\xa0MC1R)."", 'As melanin\xa0not only gives the skin its nice\xa0tanned color but also works as a\xa0natural protection factor,\xa0Acetyl Hexapeptide-1, aka Melitane does the same. \xa0It not only boosts a natural or an artificial tan\xa0but\xa0gives extra protection against\xa0UV-induced DNA and free radical damage and protects the skin against UV-caused redness.']"
Acetyl Hexapeptide-8,https://incidecoder.com/ingredients/acetyl-hexapeptide-8,goodie,2,,,"{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient', 'moisturizer/humectant': '/ingredient-functions/moisturizer-humectant'}",,"['If you see a cosmetic product that claims that it has ""Botox-like effect"" then two things are almost certain: one, the product overpromises and two, it contains Argireline.', 'So this one is the famous peptide\xa0that\'s marketed by its manufacturer as the ""Botox in a jar"". The basis for this claim is that it targets the same wrinkle forming mechanism (wrinkles caused by facial muscle movement) as Botox, but the way it works is very different. In addition, the extent to which it can prevent muscles from contracting (and to smooth wrinkles) is very different (otherwise why would anyone use still Botox?).', 'The manufacturer did several studies to prove that\xa0Argireline really works and it does (just not as well as Botox). In-vivo (made on real people) tests showed that using 10% Argireline solution around the eyes for 15 days decreased wrinkles depth by 17%. A Spanish University also did some research and found that\xa0Argireline increased the level of skin moisturization and decreased both the depth and width of wrinkles ""significantly"".', 'This means,\xa0Acetyl Hexapeptide-8 does have some ability to smooth wrinkles (but not as well as Botox - sorry, if we sound like a broken record). Also, we have to agree with TruthInAging, that it\'s not a collagen builder and not a preventer of structural aging (think vitamin C, AHAs or retinol); it\'s just a quick fix. If you are looking for one, this could be your thing. If you are more of a ""let\'s treat this aging thing properly"" type, then it\'s probably not your thing.']"
Acetyl Octapeptide-3,https://incidecoder.com/ingredients/acetyl-octapeptide-3,goodie,2,,,"{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient', 'moisturizer/humectant': '/ingredient-functions/moisturizer-humectant'}",,"['A newer and, molecule-wise, somewhat bigger version of the famous ""Botox-like"" peptide called\xa0Acetyl Hexapeptide-8 or Argireline. Just like\xa0Argireline,\xa0Acetyl Octapeptide-3 is also claimed to influence the muscle contraction process that results\xa0in a more relaxed and line-free face, especially around the forehead and the eyes.', ""While Argireline counts as a pretty well-proven peptide, with multiple studies confirming its anti-wrinkle efficacy, we cannot say the same for\xa0Acetyl Octapeptide-3. What we have is the\xa0manufacturer's claim\xa0that\xa0comparing 10% Argireline with 10% SNAP-8 solution (that means 0.005% pure peptide powder) the SNAP-8 peptide did a bit better as it reduced wrinkles by 34.98% vs 27.05% reduction for Argireline (twice a day use for 28 days on 17 women)."", 'Other than that, we can write here\xa0pretty much the same as at\xa0Argireline. Obviously, no peptide works as effectively as real Botox, and the Botox-inspired peptides are quick fixes rather than being collagen builders or real preventers of structural aging. They are nice additions to an anti-aging skincare routine but not the real superstars\xa0(think\xa0vitamin C,\xa0AHAs\xa0or\xa0retinol).']"
Acetyl Tetrapeptide-2,https://incidecoder.com/ingredients/acetyl-tetrapeptide-2,goodie,2,,,{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient'},,['A four amino acid peptide that is claimed to mimic the youth hormone called\xa0thymopoietin. It works by compensating the loss of thymic factors that come with age\xa0and is thought to\xa0stimulate\xa0the skin immune defenses and to help\xa0the skin regenerate.']
Acetyl Tetrapeptide-3,https://incidecoder.com/ingredients/acetyl-tetrapeptide-3,goodie,2,,,{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient'},,"['A relatively new, four amino acid peptide that promises to help combat hair loss alongside red clover extract as part of the trademarked technology Capixyl.', 'The main thing of\xa0 Acetyl Tetrapeptide-3 is\xa0to\xa0stimulate the synthesis of key Extra Cellular Matrix (aka ECM, the gooey stuff between cells that make up the framework of our skin) components in the scalp.\xa0 According to the manufacturer’s lab studies, the expression of type III collagen\xa0increased by 65% and the expression of laminins (anchoring proteins found in the ECM) was up a massive 285%, resulting in a stronger ECM bed for hair anchoring.', 'Together with\xa0red clover extract, the duo has a\xa0synergistic action and works to combat hair loss thanks to a neat multi-faceted approach:\xa0it\xa0not only\xa0stimulates important ECM components but also inhibits the DHT-causing 5-a-reductase enzyme (DHT is the annoying hormone largely responsible for male pattern baldness) and reduces micro-inflammation around hair follicles. The manufacturer’s study over 4 months showed the total impact of Capixyl\xa0was an increased anagen (growth phase)/telogen (resting phase) ratio of +46%, resulting in significantly denser hair.', 'All in all, Acetyl Tetrapeptide-3 is a promising ingredient in the fight against hair loss, but as the only results we could find were from the manufacturer,\xa0take these claims with a pinch of salt until more research is done.']"
Acetyl Tetrapeptide-5,https://incidecoder.com/ingredients/acetyl-tetrapeptide-5,goodie,2,,,"{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient', 'moisturizer/humectant': '/ingredient-functions/moisturizer-humectant'}",,"['A four amino acid peptide that is claimed to improve puffy eye bags via its anti-oedema and anti-glycation effects.', 'To back this claim up, the manufacturer created an in-vivo study with 20 volunteers using 10% of\xa0EYESERYL (that comes down to 0.01% (!) of the pure peptide) and found that by day 15, 70% of the volunteers improved, while 95% of the volunteers improved by the end of the study (60 days). About third of them improved only slightly, third of them showed an ok improvement and third showed a good improvement. They also have pretty convincing before and after photos, so we can tell you that for the lucky ones, the improvement can be real and visible.', 'But, the thing is that puffiness around the eyes can have multiple reasons and one of the major ones is fat accumulation that might happen as we age. No miracle cream or ingredient can do much about that, however, another common reason is water accumulation. If the reason behind your eye bags is this latter one,\xa0trying an eye cream with\xa0Acetyl Tetrapeptide-5 can be a good idea and might bring nice improvements.']"
Acetylarginyltryptophyl Diphenylglycine,https://incidecoder.com/ingredients/acetylarginyltryptophyl-diphenylglycine,goodie,2,,,{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient'},,"['A four amino acid tetrapeptide that is designed to treat sagginess and unfirmness in mature skin. It works by inhibiting an enzyme (elastase) that breaks down proteins (e.g. collagen) as well as by stimulating type I collagen synthesis.', ""According to the manufacturer's in-vivo (made on real human) test, applying 4%\xa0Relistase\xa0for 8 weeks on mature women (avg. age 49) resulted in 14% improvement in skin elasticity and in increased skin tightness by 15.6%.""]"
Acidic Fibroblast growth factor,https://incidecoder.com/ingredients/sh-polypeptide-11,No rating,-1,,,{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient'},,"['Sh-Polypeptide-11 is a medium sized cell signaling\xa0molecule also called\xa0Acidic Fibroblast Growth Factor. It belongs to the same group of ingredients (Growth Factors) as its better-known sister, Epidermal Growth Factor or Sh-Oligopeptide-1. As its name suggests, FGF can stimulate the growth and proliferation of fibroblast cells (VIP cells that produce among other things collagen). According to manufacturer info, it also stimulates skin regeneration, wound healing and collagen and elastin synthesis.', 'As for research, we could find an in-vitro study that proved that ""Recombinant FGF-1 strongly stimulated fibroblast and keratinocyte proliferation. However, the transition of this protein through the SC required an appropriate carrier system - lipid spheres.""', 'It\'s also good to know that slathering mitogenic (= stimulates cell proliferation) ingredients on yourself\xa0is somewhat\xa0controversial. If you are new to the ""Growth Factors and skincare"" topic, we have a more detailed explanation of Epidermal Growth Factor, so click here and read all about it.']"
Acrylates Copolymer,https://incidecoder.com/ingredients/acrylates-copolymer,No rating,-1,,,{'viscosity controlling': '/ingredient-functions/viscosity-controlling'},,"['A big polymer molecule that has a bunch of different versions and thus different uses. It can act as a\xa0film former,\xa0 as\xa0a\xa0thickening agent, or it can\xa0increase the water-resistance in sunscreens. It is also\xa0used to\xa0entrap\xa0pigments/inorganic sunscreens within a micron size matrix for even coverage and easy application.']"
Acrylates/ C10-30 Alkyl Acrylate Crosspolymer,https://incidecoder.com/ingredients/acrylates-c10-30-alkyl-acrylate-crosspolymer,No rating,-1,,,"{'viscosity controlling': '/ingredient-functions/viscosity-controlling', 'emulsion stabilising': '/ingredient-functions/emulsion-stabilising'}",,"['Though its long name does not reveal it, this polymer molecule (big molecule from repeated subunits or monomers) is a relative to the super common, water-loving thickener, Carbomer. Both of them are big molecules that contain acrylic acid units, but\xa0Acrylates/C10-30 Alkyl Acrylate Crosspolymer also contains some other monomers that are hydrophobic, i.e. water-hating.', 'This means that our molecule is part water- and part oil-loving, so it not only works as a thickener but also as an emulsion stabilizer. It is very common in gel-type formulas that also contain an oil-phase as well as in cleansers as it also works with most cleansing agents (unlike a lot of other thickeners).']"
Acrylates/ C12-22 Alkyl Methacrylate Copolymer,https://incidecoder.com/ingredients/acrylates-c12-22-alkyl-methacrylate-copolymer,No rating,-1,,,,,['Acrylates/C12-22 Alkyl Methacrylate Copolymer is a big molecule created from repeating subunits (aka polymer) used as a film-former. It is great at improving the water and wear resistance of sunscreens and makeup products.']
Acrylates/ Dimethicone Copolymer,https://incidecoder.com/ingredients/acrylates-dimethicone-copolymer,No rating,-1,,,,,"['A polymer molecule (big molecule from repeated subunits) whose main thing is being a film-former.', 'It is often dissolved in a volatile carrier fluid that evaporates from the skin\xa0leaving a nice, flexible\xa0film with great water, oil and abrasion resistance, oxygen permeability, and long-lasting cosmetic effect. These properties are especially useful for\xa0sun protection formulas and long-lasting foundations.']"
Acrylates/ Ethylhexyl Acrylate Crosspolymer,https://incidecoder.com/ingredients/acrylates-ethylhexyl-acrylate-crosspolymer,No rating,-1,,,{'absorbent/mattifier': '/ingredient-functions/absorbent-mattifier'},,"['A softening and texturizing agent that can also absorb high amounts of excess oil produced by the skin. It leaves a mat, soft and velvety feel on the skin.']"
Acrylonitrile/ Methyl Methacrylate/ Vinylidene Chloride Copolymer,https://incidecoder.com/ingredients/acrylonitrile-methyl-methacrylate-vinylidene-chloride-copolymer,No rating,-1,,,,,"['Thermoplastic (a type of plastic that becomes moldable at higher temperatures and solidifies upon cooling) microspheres (tiny balls) that are generally used as\xa0lightweight fillers. As for cosmetics, we have found a patent from Living Proof\xa0that claimes a hair spray composition with our\xa0microsphere to ""surprisingly increase\xa0the volume of hair"".', ""Other than that, the L'Oreal group\xa0seems to like and use\xa0Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer as a hollow, gas-filled (probably filled with isobutane) microsphere as it improves the skin feel of aqueous gel formulas and makes them very comfortable and smooth.""]"
Acticire,https://incidecoder.com/ingredients/acacia-decurrens-jojoba-sunflower-seed-wax-polyglyceryl-3-esters,No rating,-1,,,"{'emollient': '/ingredient-functions/emollient', 'emulsion stabilising': '/ingredient-functions/emulsion-stabilising'}",,"['A 100% plant-based moisturizing and texturizing agent that is based on the\xa0transesterification of Sunflower, Jojoba, and Mimosa waxes. The resulting material is a soft, smooth butter halfway between liquid emollients and solid butters.', 'It has similar emollient and moisturizing properties to\xa0lanolin, however, it is much more compatible with water in oil emulsions. 5% of the wax ester makes it possible to include up to 15% water into traditionally water-free formulas such as lip balms or massage oils.']"
