,name,link,category,rating,discription
364,ceresin,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/ceresin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,"Derived from clay, ceresin is a waxy ingredient used as a thickening agent in cosmetics. It can aggravate some skin types."
365,ceteareth-20,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/ceteareth-20.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,Fatty alcohol that is used to thicken cosmetics and keep ingredients mixed together and stable.
366,ceteareth-25,https://www.paulaschoice.com/ingredient-dictionary/emulsifiers/ceteareth-25.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emulsifiers', 'Texture Enhancer']",Good,"A fatty alcohol that functions as an emulsifier and surfactant in cosmetics. It may be plant- or animal-derived or made synthetically (Paula’s Choice Skincare uses the synthetic and plant-derived types). 
Ceteareth-25 also helps to keep ingredients soluble within a formula, allowing remain dispersed evenly throughout an emulsion. 
Reference for this information:
http://www.cosmeticsinfo.org/ingredient/ceteareths"
367,ceteareth-6 olivate,https://www.paulaschoice.com/ingredient-dictionary/emollients/ceteareth-6-olivate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Emulsifiers', 'Texture Enhancer']",Good,"The ester of a fatty alcohol and fatty acids from olive oil. Its light, silky texture is used to create moisturizers and similar hydrating products, where it also works as an emollient while its emulsifier properties help it to stabilize products. A nice aesthetic trait of this ingredient is that it absorbs quickly without leaving a greasy feel behind. Ceteareth-6 olivate is typically plant-derived, but can also be synthetic or animal-derived. Paula’s Choice uses the plant-derived type."
368,cetearyl alcohol,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetearyl-alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,"Fatty alcohol that is a mixture of gentle cetyl and stearyl alcohols. It’s used as an emollient, texture enhancer, foam stabilizer, and carrying agent for other ingredients. Can be derived naturally, as in coconut fatty alcohol, or made synthetically. It is almost always combined with similar-feeling ingredients to create a product’s texture and influence its slip when applied to skin.Cosmetic products labeled ""alcohol free"" are allowed to contain cetearyl alcohol, whose effects are quite different from skin-aggravating forms of alcohol. We repeat: fatty alcohols like cetearyl alcohol do not pose a risk of sensitizing skin.Reference for this information:FDA Labeling Claims, 2014http://www.cosmeticsinfo.org/ingredient/cetyl-alcohol"
369,cetearyl ethylhexanoate,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetearyl-ethylhexanoate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,Oil-like liquid that functions as an emollient to defend skin against moisture loss. Also adds an elegant slip to creams and lotions.
370,cetearyl glucoside,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetearyl-glucoside.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,A blend of cetearyl alcohol and glucose that functions as an emulsifier.
371,cetearyl octanoate,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetearyl-octanoate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Skin-Replenishing', 'Emollients']",Good,
372,cetearyl olivate,https://www.paulaschoice.com/ingredient-dictionary/slip-agents/cetearyl-olivate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Slip Agents', 'Emulsifiers', 'Texture Enhancer']",Good,"An oily, somewhat waxy ester of cetearyl alcohol and the fatty acids from olive oil. Cetearyl olivate may be animal-derived, synthetic or derived from plants (Paula’s Choice uses the latter). It functions as an emulsifier and slip agent or texture enhancer. Cetearyl alcohol-based ingredients are considered safe for use on skin. Reference for this information: Journal of the American College of Toxicology, Volume 7, 1988, pages 403-407"
373,cetyl acetate,https://www.paulaschoice.com/ingredient-dictionary/emollients/cetyl-acetate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good,A mixture of cetyl alcohol and acetic acid used as a skin-replenishing agent and emollient.
374,cetyl alcohol,https://www.paulaschoice.com/ingredient-dictionary/thickeners%2Femulsifiers/cetyl-alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Thickeners/Emulsifiers', 'Emollients']",Good,"Fatty alcohol used as an emollient, emulsifier, thickener, and carrying agent for other ingredients. Can be derived naturally, as in coconut fatty alcohol, or made synthetically. It is not an irritant and is not related to SD alcohol, denatured alcohol, or ethyl alcohol. Cetyl alcohol is considered safe for use in cosmetics.
Reference for this information:
http://www.cir-safety.org/sites/default/files/115_buff3a_suppl.pdf"
375,cetyl dimethicone,https://www.paulaschoice.com/ingredient-dictionary/silicones/cetyl-dimethicone.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Silicones'],Good,Silicone polymer that functions as skin-conditioning agent.
376,cetyl dimethicone copolyol,https://www.paulaschoice.com/ingredient-dictionary/silicones/cetyl-dimethicone-copolyol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Silicones', 'Emollients']",Good,
377,cetyl esters,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetyl-esters.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,Synthetic wax used in cosmetics as a texture enhancer and emollient.
378,cetyl hydroxyethylcellulose,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetyl-hydroxyethylcellulose.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,A mixture of cetyl alcohol and hydroxyethylcellulose. It functions as thickener and stabilizing agent.
379,cetyl palmitate,https://www.paulaschoice.com/ingredient-dictionary/emollients/cetyl-palmitate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good,"The ester of cetyl palmitate and palmitic acid, this thickener and emollient helps smooth and condition dry skin. The ingredients that comprise cetyl palmitate are naturally-occurring fatty acids. It may be derived from animals but can also (and is usually) derived from plants or manufactured synthetically."
380,cetyl PEG/PPG-10/1-dimethicone,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetyl-peg%2Fppg-10%2F1-dimethicone.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Silicones']",Good,Silicone that functions as a skin-conditioning agent and emulsifier.
381,chamomile,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/chamomile.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Ingredient derived from plant species Chamomilla recutita, Matricaria recutita, and Matricaria chamomilla. Chamomile tea, brewed from dried flower heads, has been used traditionally for a variety of concerns. The main constituents of the flowers include phenolic compounds, primarily the flavonoids apigenin, quercetin, patuletin, luteolin, and their glucosides, all of which function as antioxidants.
The principal components of the oil extracted from the flowers are the terpenoids a-bisabolol and its oxides and azulenes, including chamazulene. Chamomile has moderate antioxidant activities and studies indicate it is has potent skin-soothing action, among other benefits.
Adverse responses to chamomile have been reported among those who are aggravated by other plants in the daisy family. If you’re allergic to plants in the daisy family, you may need to avoid products that contain chamomile. 
References for this information:
Journal of Clinical and Aesthetic Dermatology, January 2009, pages 36-40
Phytotherapy Research, July 2006, pages 519-530"
382,Chamomilla recutita flower extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/chamomilla-recutita-flower-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,
383,charcoal,https://www.paulaschoice.com/ingredient-dictionary/absorbent/charcoal.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Absorbent'],Good,"Primarily carbon substance formed by charring organic material in absence of oxygen. One teaspoonful of Activated Charcoal USP has a surface area of more than 10,000 square feet, which gives charcoal unique absorption properties.References for this information:Chemosphere, August 2005, pages 1,129-1,140Ceska a Slovenska Farmacie, November 2004, pages 304-309."
384,charcoal powder,https://www.paulaschoice.com/ingredient-dictionary/absorbent/charcoal-powder.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Absorbent'],Good,"Primarily carbon substance formed by charring organic material in absence of oxygen. One teaspoonful of Activated Charcoal USP has a surface area of more than 10,000 square feet, which gives charcoal unique absorption properties.References for this information:Chemosphere, August 2005, pages 1,129-1,140Ceska a Slovenska Farmacie, November 2004, pages 304-309."
385,chelating agent,https://www.paulaschoice.com/ingredient-dictionary/uncategorized/chelating-agent.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Uncategorized'],Good,"Any of numerous ingredients that bind with metal ions or metallic compounds, preventing them from adhering to a surface (such as skin, hair, or clothing) or causing contamination, such as in the case of trace amounts of iron. Examples are tetrasodium EDTA and tetrahydroxypropyl ethylenediamine. The EDTA complex is most common because of its broad effectiveness and compatibility with most cosmetic ingredients."
386,cherry extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cherry-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Antioxidants']",Best,
387,China clay,https://www.paulaschoice.com/ingredient-dictionary/absorbent/china-clay.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Absorbent'],Good,
388,chitosan,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/chitosan.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Antioxidants']",Best,"Derived from chitin, a polysaccharide found in the exoskeletons of shrimp, lobster, and crabs. There is extensive research showing it can be effective in skin restoring and soothing.
References for this information:
Journal of Pharmacy and Pharmacology, November 2002, issue 11, pages 1453–1459
International Journal of Food Microbiology, March 2002, issues 1-2, pages 65–72
 
Biomaterials, November 2001, issue 21, pages 2959–2966
Journal of Pharmacy and Pharmacology, August 2001, issue 8, pages 1047–1067"
389,chlorella,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/chlorella.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Texture Enhancer', 'Emollients', 'Plant Extracts']",Good,
390,chlorophene,https://www.paulaschoice.com/ingredient-dictionary/preservatives/chlorophene.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Preservatives'],Good,Used as a preservative in cosmetics.
391,chloroxylenol,https://www.paulaschoice.com/ingredient-dictionary/preservatives/chloroxylenol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Preservatives'],Good,Chemical compound used as a preservative.
392,chlorphenesin,https://www.paulaschoice.com/ingredient-dictionary/preservatives/chlorphenesin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Preservatives'],Good,Type of alcohol used as a preservative in cosmetics.
393,cholecalciferol,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/cholecalciferol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Vitamins']",Good,Technical name for vitamin D.
394,cholesterol,https://www.paulaschoice.com/ingredient-dictionary/emollients/cholesterol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Skin-Replenishing']",Best,"Applied topically, cholesterol in cosmetics can help maintain the skin’s healthy feel and appearance. It is also a stabilizer, emollient, and water-binding agent.
References for this information:
Journal of Structural Biology, June 2007, issue 3, pages 386-400"
395,choline,https://www.paulaschoice.com/ingredient-dictionary/vitamins/choline.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Vitamins'],Best,"Part of the vitamin B complex and a constituent of many other biologically important molecules, such as acetylcholine (a neurotransmitter) and lecithin."
396,chondroitin sulfate,https://www.paulaschoice.com/ingredient-dictionary/skin-replenishing/chondroitin-sulfate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Replenishing'],Best,
397,Chondrus crispus (algae) extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/chondrus-crispus.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Hydration']",Best,"Chondrus crispus, also known as red algae, is a type of seaweed that’s a rich source of many nutrients for skin, including the pigment beta-carotene and potent antioxidants zeaxanthin, lutein, which help protect skin from the visible effects of blue light exposure. Of course, the antioxidants in red algae have wider-reaching benefits, too. The natural polysaccharides, peptides, and amino acids in red algae also help skin to stay hydrated; meanwhile, the numerous antioxidants in this and other types of algae can help shield skin from damaging airborne pollutants. Chondrus crispus contains a compound known as carrageenan, which forms a flexible film on skin that offers further defense against environmental stressors. References for this information: Cosmetics, October 2018, ePublication; and February 2018, ePublication Biochemistry and Biophysics Reports, December 2015, pages 52-58 Scientific Reports, July 2015, ePublication Applied and Environmental Microbiology, December 2013, pages 7,343–7,350"
398,chromium hydroxide green,https://www.paulaschoice.com/ingredient-dictionary/coloring-agents%2Fpigments/chromium-hydroxide-green.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Coloring Agents/Pigments'],Good,Earth mineral used as a coloring agent/additive and permanently listed (as of 1977) by the FDA for use in cosmetic products.
399,chromium oxide green,https://www.paulaschoice.com/ingredient-dictionary/coloring-agents%2Fpigments/chromium-oxide-green.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Coloring Agents/Pigments'],Good,
400,Chrysanthellum indicum (golden chamomile) extract,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/chrysanthellum-indicum-golden-chamomile-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']",Best,"Chrysanthellum indicum is a form of chamomile that, like other forms, has soothing properties when applied to skin. Golden chamomile seems to have a stronger anti-redness effect due to its unique mix of soothing compounds, all of which can be helpful if you struggle with visibly reddened or extra-sensitive skin. Amounts of 0.5% have been shown to visibly reduce skin discolorations, most likely due to flavonoid compounds luteolin and acacetin-7-O-rutinoside; however, this study was in-vitro and looked at tyrosinase (a melanin-fueling enzyme) formation on mushrooms, not human skin. Still, it’s an intriguing possibility. References for this information: Journal of Cosmetic Dermatology, June 2016, pages 162-168 International Journal of Molecular Sciences, February 2016, ePublication Journal of the European Academy of Dermatology and Venereology, September 2005, pages 564-568 Acta Pharmaceutica, September 2002, pages 213-218"
401,chrysanthemum extract,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/chrysanthemum-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Best,Can have skin-soothing benefit for skin.
402,Chrysanthemum parthenium extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/chrysanthemum-parthenium-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Average,
403,Cichorium intybus,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/cichorium-intybus.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Good,"Source of a plant extract with antioxidant properties.
References for this information:
Archives of Pharmaceutical Research, October 2001, issue 5, pages 431–436"
404,Cimicifuga racemosa root extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cimicifuga-racemosa-root-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Average,
405,Cinnamomum,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/cinnamomum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,
406,Cinnamomum camphora,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cinnamomum-camphora.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,
407,cinnamon,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/cinnamon.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,"Can have antioxidant properties, but also can aggravate skin. May be listed as Cinnamomum camphora.
References for this information:
Cutaneous and Ocular Toxicology, 2007, issue 3, pages 227-233"
408,cinnamyl alcohol,https://www.paulaschoice.com/ingredient-dictionary/fragrance-synthetic-and-fragrant-plant-extracts/cinnamyl-alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Fragrance: Synthetic and Fragrant Plant Extracts'],Poor,"A volatile fragrance ingredient that contains extracts from cinnamon and balsam of Peru and is capable of aggravating skin.
References for this information:
Journal of Dermatological Science, February 2003, issue 1, pages 9-19"
409,citrate buffer,https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/citrate-buffer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],Good,"Citrate buffer is a buffered mixture of the cosmetic ingredients sodium citrate and citric acid. It functions in cosmetics as a pH-adjusting ingredient to keep products in the acidic range of the pH scale. It can be sensitizing when used in high amounts, but the tiny amounts needed to establish a pH in cosmetics are not harmful to skin. References for this information:International Journal of Pharmaceutics, May 2017, pages 222-231Results in Pharma Sciences, May 2011, pages"
410,citric acid,https://www.paulaschoice.com/ingredient-dictionary/uncategorized/citric-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Uncategorized'],Good,"Extract derived from citrus fruits and used primarily in small amounts to adjust the pH of products to prevent them from being too alkaline.Citric acid is an AHA, and as such, in the right formula and concentration, it can exfoliate skin. However, research on this ability looked at much higher concentrations (20%, for example) than are used in skincare products—not to mention there’s proportionately more research on AHAs glycolic and lactic acids. Moreover, the AHAs lactic and glycolic acid have been shown to be more effective and less likely to promote a stinging reaction on skin.References for this information:The Journal of Dermatology, January 2006, pages 16-22Dermatologic Surgery, August 1997, pages 689-694International Journal of Cosmetic Science, April 1996, pages 75-83"
411,citronellol,https://www.paulaschoice.com/ingredient-dictionary/fragrance-synthetic-and-fragrant-plant-extracts/citronellol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Fragrance: Synthetic and Fragrant Plant Extracts'],Poor,"A volatile fragrance chemical extracted from geranium, rose, and other plants, citronellol has a characteristic grassy, citrus-like scent. Applied to skin, it can cause aggravation when exposed to air. This exposure causes the unstable citronellol molecule to oxidize, which is believed to trigger aggravation on skin."
412,Citrullus colocynthis,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/citrullus-colocynthis.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,Bitter apple; considered to aggravate skin.
413,Citrus amara,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/citrus-amara.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,
414,Citrus aurantifolia,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/citrus-aurantifolia.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,
415,Citrus aurantium,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/citrus-aurantium.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,
416,Citrus aurantium extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/citrus-aurantium-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,"Bitter orange extract. It can have antioxidant properties when eaten (Source: Journal of Agricultural Food Chemistry, December 1999, pages 5239–5244); however, used topically its methanol content makes it potentially sensitizing for skin"
417,Citrus medica limonium,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/citrus-medica-limonium.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,
418,Citrus unshiu,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/citrus-unshiu.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Average,"Plant extract more commonly known as the satsuma. This medium-sized citrus fruit is native to Japan. Like all citrus extracts, it contains volatile fragrance chemicals that can be a source of skin aggravation. Of course, it has antioxidant ability as do most plants, but ideally you should be seeking antioxidants that provide benefits rather than a mix of benefits and risks.
References for this information:
Journal of Agriculture and Food Chemistry, July 2008, issue 14, pages 5682-5690"
419,Citrus unshiu peel extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/citrus-unshiu-peel-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Average,
420,clary oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/clary-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,"p>Used as fragrance; can aggravate skin.References for this information:Toxicological Sciences, January 2018, pages 139-148Apoptosis, February 2018, pages 175-187Plant Biology, July 2008, pages 433-440Cell Proliferation, June 2004, pages 221-229"
421,clary sage,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/clary-sage.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],Good,"Also known as Salvia sclarea, the extract from the clary sage plant (not to be confused with common sage leaf) has antioxidant properties, although it isn’t nearly as well researched as several other plant extracts with antioxidant benefits. Note that the oil form of clary sage can be a skin sensitizer and should be avoided. The main antioxidants in clary extract come from the seeds, and include vitamin E, lutein, and various carotenoids. Clary extract and its derivatives have generally recognized as safe status, including for use in foods. References for this information: Chemistry and Biodiversity, September 2017, ePublication Interdisciplinary Toxicology, September 2014, pages 146-153 Cellular and Molecular Biology, June 2014, pages 1-5"
422,clay,https://www.paulaschoice.com/ingredient-dictionary/absorbent/clay.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Absorbent'],Good,
423,Clitoria ternatea (butterfly pea) flower extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/clitoria-ternatea-butterfly-pea-flower-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Clitoria ternatea is a perennial herb more commonly known as butterfly pea because of the pea-shaped, wing-like flowers it produces. All parts of this plant have benefit for skin, making it another interesting natural ingredient to consider--and note that the flowers of this plant do not contain aromatic compounds known to irritate skin. The root portion of this plant contains numerous compounds that have been shown to calm skin and visibly reduce redness from external irritants. All parts of the plant can increase the presence of the body’s “master antioxidant”, glutathione, as well as act as an antioxidant itself. The flower extract from butterfly pea has been shown in studies to also have anti-glycation properties. This is important for younger-looking skin, because by-products from glycation (a process in which rogue sugar molecules break down proteins in the body) can lead to collagen loss, resulting in wrinkles becoming more prominent and firmness decreasing. References for this information: Frontiers in Plant Science, May 2019, ePublication Scientia Pharmaceutica, December 2018, ePublication BMC Complementary and Alternative Medicine, February 2015, ePublication Phytotherapy Research, November 2009, pages 1,624-1,625"
424,clove leaf,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/clove-leaf.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,
425,clove oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/clove-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,Can aggravate skin when used repeatedly.
426,clover blossom,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/clover-blossom.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,"Contains eugenol, which can aggravate skin and cause photosensitivity."
427,clover leaf oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/clover-leaf-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,
428,cocamide DEA and MEA,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cocamide-dea-and-mea.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Cleansing Agents']",Average,"Both cocamide DEA (diethanolamine) and MEA (monoethanolamine) are widely used to thicken the water phase of cosmetics, keep ingredients blended, and boost foaming properties. Derived from plants (typically coconut oil) or made synthetically, these ingredients have been thoroughly evaluated for safety and are permitted for use in leave-on products in concentrations up to 10%. Cocamide DEA can react with other ingredients to form harmful substances known as nitrosamines. According to the Cosmetic Ingredient Review (CIR) Board, “To prevent the formation of possibly [harmful] nitrosamines, these ingredients should not be used in cosmetics and personal care products containing nitrosating agents.” The CIR Expert Panel concluded that “Cocamide DEA was safe as used in rinse-off products and safe at concentrations of less than or equal to 10% in leave-on products.”
References for this information:
International Journal of Toxicology, May-June 2013, 3S, pages 26S-58S"
429,cocamidopropyl betaine,https://www.paulaschoice.com/ingredient-dictionary/cleansing-agents/cocamidopropyl-betaine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Cleansing Agents'],Good,"Gentle surfactant used in skincare products, almost always as a secondary cleansing agent and lather booster. When used alone as the sole cleansing agent, it is too mild to clean adult skin and hair.Cocamidopropyl betaine may be plant-derived or synthetic, with either form considered safe for use in cosmetic products. It is considered low risk for sensitizing skin, although impurities resulting from poor manufacturing can increase the risk.References for this information:International Journal of Toxicology, July-August 2012, Supplement, pages 77S-111SContact Dermatitis, May 2012, pages 286-292 ; April 2011, pages 203-211 ; and May-June 2008, pages 157-160"
430,cocamidopropyl dimethylamine,https://www.paulaschoice.com/ingredient-dictionary/cleansing-agents/cocamidopropyl-dimethylamine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Cleansing Agents'],Good,"An antistatic agent derived from fatty acids found in coconut oil, though it may be produced synthetically, too. Although very high concentrations can be sensitizing, this ingredient is considered safe and effective when used in lower amounts in water-based formulas. Despite its function as an antistatic agent, cocamidopropyl dimethylamine belongs to the same class of ingredients as the cleansing/lather agent cocamidopropyl betaine.
References for this information:
International Journal of Toxicology, July-August 2012, issue 4, pages 77S-111S"
431,cocamidopropyl hydroxysultaine,https://www.paulaschoice.com/ingredient-dictionary/cleansing-agents/cocamidopropyl-hydroxysultaine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Cleansing Agents'],Good,Mild surfactant.
432,Coccinia indica (ivy gourd) fruit extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/coccinia-indica-ivy-gourd-fruit+extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Hydration']",Best,"A fruit whose components can help shield skin from an imbalance of naturally-occurring substances on skin’s surface; however, there’s minimal research attesting to its other benefits for skin, save for being a natural skin-conditioning agent.References for this information:Advances in Biological Research, January 2010, pages 241-248Journal of Biotechnology, December 2009, pages 7,073-7,076"
433,cocoa butter,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cocoa-butter.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Emollients']",Best,"Oil extracted from cocoa beans, used as an emollient and with properties similar to those of other non-fragrant plant oils. Cocoa butter is a rich source of antioxidant polyphenols.
References for this information:
International Journal of Cosmetic Science, October 2008, issue 5, pages 339-345"
434,cocoa extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/cocoa-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Can have potent antioxidant properties.
References for this information:
Experimental Biology and Medicine, May 2002, issue 5, pages 321–329
Journal of Agricultural Food Chemistry, July 2001, issue 7, pages 3438–3442"
435,coco-caprylate,https://www.paulaschoice.com/ingredient-dictionary/emollients/coco-caprylate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Hydration']",Good,"Coco-caprylate is the mixture of esters that occur when the fatty alcohols derived from coconut alcohol reacts with the fatty acid caprylic acid. What results is a lightweight, easy-to-spread emollient ingredient that smooths and softens skin.Coco-caprylate may be plant-derived or synthetic (Paula’s Choice uses the former) and is not known to be a sensitizing ingredient.References for this information:https://www.cir-safety.org/sites/default/files/alkyle032013rep.pdf"
